token,type,uniq,age_group,dialect,gender,operating_system,input_method,trial,session
x,initial,0,18-30,cantonese,female,mac,apple,2,1
ia,final,1,18-30,cantonese,female,mac,apple,2,1
1,selection,2,18-30,cantonese,female,mac,apple,2,1
m,initial,3,18-30,cantonese,female,mac,apple,2,1
a,final,4,18-30,cantonese,female,mac,apple,2,1
1,selection,5,18-30,cantonese,female,mac,apple,2,1
yin,final,6,18-30,cantonese,female,mac,apple,2,1
l,initial,7,18-30,cantonese,female,mac,apple,2,1
iao,final,8,18-30,cantonese,female,mac,apple,2,1
_,selection,9,18-30,cantonese,female,mac,apple,2,1
*,productive-delete,10,18-30,cantonese,female,mac,apple,2,1
j,initial,11,18-30,cantonese,female,mac,apple,2,1
un,final,12,18-30,cantonese,female,mac,apple,2,1
z,initial,13,18-30,cantonese,female,mac,apple,2,1
1,selection,14,18-30,cantonese,female,mac,apple,2,1
*,productive-delete,15,18-30,cantonese,female,mac,apple,2,1
j,initial,16,18-30,cantonese,female,mac,apple,2,1
iu,final,17,18-30,cantonese,female,mac,apple,2,1
1,selection,18,18-30,cantonese,female,mac,apple,2,1
wen,final,19,18-30,cantonese,female,mac,apple,2,1
1,selection,20,18-30,cantonese,female,mac,apple,2,1
j,initial,21,18-30,cantonese,female,mac,apple,2,1
un,final,22,18-30,cantonese,female,mac,apple,2,1
z,initial,23,18-30,cantonese,female,mac,apple,2,1
i,final,24,18-30,cantonese,female,mac,apple,2,1
1,selection,25,18-30,cantonese,female,mac,apple,2,1
*,productive-delete,26,18-30,cantonese,female,mac,apple,2,1
h,initial,27,18-30,cantonese,female,mac,apple,2,1
e,final,28,18-30,cantonese,female,mac,apple,2,1
s,initial,29,18-30,cantonese,female,mac,apple,2,1
uo,final,30,18-30,cantonese,female,mac,apple,2,1
1,selection,31,18-30,cantonese,female,mac,apple,2,1
zh,initial,32,18-30,cantonese,female,mac,apple,2,1
i,final,33,18-30,cantonese,female,mac,apple,2,1
1,selection,34,18-30,cantonese,female,mac,apple,2,1
j,initial,35,18-30,cantonese,female,mac,apple,2,1
un,final,36,18-30,cantonese,female,mac,apple,2,1
z,initial,37,18-30,cantonese,female,mac,apple,2,1
i,final,38,18-30,cantonese,female,mac,apple,2,1
1,selection,39,18-30,cantonese,female,mac,apple,2,1
*,productive-delete,40,18-30,cantonese,female,mac,apple,2,1
yan,final,41,18-30,cantonese,female,mac,apple,2,1
4,selection,42,18-30,cantonese,female,mac,apple,2,1
b,initial,43,18-30,cantonese,female,mac,apple,2,1
u,final,44,18-30,cantonese,female,mac,apple,2,1
d,initial,45,18-30,cantonese,female,mac,apple,2,1
e,final,46,18-30,cantonese,female,mac,apple,2,1
yi,final,47,18-30,cantonese,female,mac,apple,2,1
1,selection,48,18-30,cantonese,female,mac,apple,2,1
*,productive-delete,49,18-30,cantonese,female,mac,apple,2,1
yi,final,50,18-30,cantonese,female,mac,apple,2,1
1,selection,51,18-30,cantonese,female,mac,apple,2,1
g,initial,52,18-30,cantonese,female,mac,apple,2,1
ui,final,53,18-30,cantonese,female,mac,apple,2,1
l,initial,54,18-30,cantonese,female,mac,apple,2,1
ai,final,55,18-30,cantonese,female,mac,apple,2,1
1,selection,56,18-30,cantonese,female,mac,apple,2,1
*,productive-delete,57,18-30,cantonese,female,mac,apple,2,1
wo,final,58,18-30,cantonese,female,mac,apple,2,1
sh,initial,59,18-30,cantonese,female,mac,apple,2,1
i,final,60,18-30,cantonese,female,mac,apple,2,1
2,selection,61,18-30,cantonese,female,mac,apple,2,1
*,productive-delete,62,18-30,cantonese,female,mac,apple,2,1
n,initial,63,18-30,cantonese,female,mac,apple,2,1
an,final,64,18-30,cantonese,female,mac,apple,2,1
sh,initial,65,18-30,cantonese,female,mac,apple,2,1
an,final,66,18-30,cantonese,female,mac,apple,2,1
ch,initial,67,18-30,cantonese,female,mac,apple,2,1
ui,final,68,18-30,cantonese,female,mac,apple,2,1
1,selection,69,18-30,cantonese,female,mac,apple,2,1
d,initial,70,18-30,cantonese,female,mac,apple,2,1
an,final,71,18-30,cantonese,female,mac,apple,2,1
q,initial,72,18-30,cantonese,female,mac,apple,2,1
u,final,73,18-30,cantonese,female,mac,apple,2,1
1,selection,74,18-30,cantonese,female,mac,apple,2,1
m,initial,75,18-30,cantonese,female,mac,apple,2,1
o,final,76,18-30,cantonese,female,mac,apple,2,1
1,selection,77,18-30,cantonese,female,mac,apple,2,1
f,initial,78,18-30,cantonese,female,mac,apple,2,1
u,final,79,18-30,cantonese,female,mac,apple,2,1
x,initial,80,18-30,cantonese,female,mac,apple,2,1
i,final,81,18-30,cantonese,female,mac,apple,2,1
1,selection,82,18-30,cantonese,female,mac,apple,2,1
*,productive-delete,83,18-30,cantonese,female,mac,apple,2,1
wen,final,84,18-30,cantonese,female,mac,apple,2,1
1,selection,85,18-30,cantonese,female,mac,apple,2,1
b,initial,86,18-30,cantonese,female,mac,apple,2,1
ai,final,87,18-30,cantonese,female,mac,apple,2,1
yun,final,88,18-30,cantonese,female,mac,apple,2,1
1,selection,89,18-30,cantonese,female,mac,apple,2,1
wu,final,90,18-30,cantonese,female,mac,apple,2,1
j,initial,91,18-30,cantonese,female,mac,apple,2,1
in,final,92,18-30,cantonese,female,mac,apple,2,1
sh,initial,93,18-30,cantonese,female,mac,apple,2,1
i,final,94,18-30,cantonese,female,mac,apple,2,1
3,selection,95,18-30,cantonese,female,mac,apple,2,1
3,selection,96,18-30,cantonese,female,mac,apple,2,1
,1