Trial_Name,Trial_ID,Trial_SESSION,Trial_Trial,Trial_Text,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,Keylog_CLEAN,IME,OS,AGE,DIALECT,GENDER,CharacterType,TrialDate
tang_session1_trial2,1,1,2,TangPoem,x,ia,1,m,a,1,y,in,l,iao,_,*,j,un,z,1,*,j,iu,1,w,en,1,j,un,z,i,1,*,,h,e,s,uo,1,,,,,zh,i,1,j,un,z,i,1,*,y,an,4,b,u,d,e,y,i,1,*,y,i,1,g,ui,l,ai,1,*,w,o,sh,i,2,*,n,an,sh,an,,ch,ui,1,d,an,q,u,1,m,o,1,f,u,x,i,1,*,w,en,1,b,ai,y,un,1,w,u,j,in,sh,i,3,3,"xia1ma1yinliao_*junz1*jiu1,wen1junzi1*hesuo1zhi1,junzi1*yan4budeyi1*yi1,guilai1*woshi2*nanshanchui1,danqu1mo1fuxi1*wen1,baiyun1wujinshi33.",Apple,MAC,23,Cantonese,F,Simplified,12/16/2014
tang_session2_trial1,1,2,1,TangPoem,x,ia,,m,a,_,y,in,,,,,j,un,,,,j,iu,_,w,en,,j,un,,,,,,h,e,s,uo,,,,,,zh,i,_,j,un,,,,,y,an,,b,u,d,e,,,,,y,i,_,g,ui,,,,,w,o,,,,,n,an,sh,an,_,ch,ui,_,d,an,q,u,,m,o,,f,u,,,,,w,en,_,b,ai,y,un,,w,u,j,in,sh,i,_,,"xiama_yinjunjiu_,wenjunhesuozhi_?zhi_junyanbudeyi_,guiwonanshan_shuichui_.danqumofuwen_,baiyunwujinshi_.",Apple,MAC,24,Mandarin,F,Simplified,12/18/2014
tang_session2_trial2,1,2,2,TangPoem,x,ia,,m,a,_,y,in,,,,,j,un,,,,j,iu,_,w,en,_,j,un,,,,,_,h,e,s,uo,,,,,,zh,i,2,j,un,,,,,y,an,,b,u,d,e,,,,,y,i,_,g,ui,,,,,w,o,,,,,n,an,sh,an,,ch,ui,_,d,an,q,u,,m,o,,f,u,,,,,w,en,_,b,ai,y,un,,w,u,j,in,sh,i,_,,"xiama_yinjunjiu_,wen_jun_hesuozhi2?junyanbudeyi_,guiwonanshanchui_.danqumofuwen_,baiyunwujinshi_.",Apple,MAC,24,Mandarin,F,Simplified,12/18/2014
tang_session5_trial1,1,5,1,TangPoem,x,ia,,m,a,,y,in,,,,,j,un,,,,j,iu,2,w,en,,j,un,,,,,,h,e,s,uo,,,,,,zh,i,2,j,un,,,,,y,an,,b,u,d,e,,,,,y,i,2,g,ui,,,,,w,o,,,,,n,an,sh,an,,ch,ui,2,d,an,q,u,,m,o,,f,u,,,,,w,en,2,b,ai,y,un,,w,u,j,in,sh,i,2,,"xiamayinjunjiu2,wenjunhesuozhi2?junyanbudeyi2,guiwonanshanhui2.danqumofuwen2,baiyunwujinshi2.",Baidu,MAC,25,Hubei,F,Simplified,1/15/2015
tang_session6_trial1,1,6,1,TangPoem,x,ia,,m,a,,y,in,,,,,j,un,,,,j,iu,1,w,en,,j,un,,,,,,h,e,s,uo,,zh,i,1,*,zh,i,1,j,un,,,,,y,an,,b,u,d,e,,,,,y,i,1,g,ui,,,,,w,o,,,,,n,an,sh,an,,ch,ui,1,d,an,q,u,,m,o,,f,u,,,,,w,en,1,b,ai,y,un,,w,u,j,in,sh,i,1,,"xiamayinjunjiu1,wenjunhesuozhi1*zhi1?junyanbudeyi1,guiwonanshanchui1.danqumofuwen1,baiyunwujinshi1.",Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015
tang_session6_trial2,1,6,2,TangPoem,x,ia,,m,a,1,y,in,,,,,j,un,,,,j,iu,1,w,en,,j,un,,,,,,h,e,s,uo,,zh,i,1,*,zh,i,1,j,un,,,,,y,an,,b,u,d,e,,,,,y,i,1,g,ui,,,,,w,o,,,,,n,an,sh,an,,ch,ui,1,d,an,q,u,,m,o,,f,u,,,,,w,en,1,b,ai,y,un,,w,u,j,in,sh,i,1,,"xiama1yinjunjiu1,wenjunhesuozhi1*zhi1?junyanbudeyi1,guiwonanshanchui1.danqumofuwen1,baiyunwujinshi1.",Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015
segment,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,,,,,,,,
CodeOfCorrespondingChinese-SeeOtherSheet,,,,,1,1,,2,2,,3,3,,,,,4,4,,,,5,5,,6,6,,7,7,,,,,,8,8,9,9,,,,,,10,10,,11,11,,,,,12,12,,13,13,14,14,,,,,15,15,,16,16,,,,,17,17,,,,,18,18,19,19,,20,20,,21,21,22,22,,23,23,,24,24,,,,,25,25,,26,26,27,27,,28,28,29,29,30,30,,,,,,,,,,
DNA_Type(PLEASEDOUBLECHECK!),,,,,I,F,S,I,F,S,I,F,I,F,S,D,I,F,I,S,D,I,F,S,I,F,S,I,F,I,F,S,D,S,I,F,I,F,S,I,F,S,D,I,F,S,I,F,I,F,S,D,I,F,S,I,F,I,F,I,F,S,D,I,F,S,I,F,I,F,S,D,I,F,I,F,S,D,I,F,I,F,S,I,F,S,I,F,I,F,S,I,F,S,I,F,I,F,S,D,I,D,S,I,F,I,F,S,I,F,I,F,I,F,S,S,,,,,,,,
MasterTokenID,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,,,,,,,,